User/index###5b1754d09398f###2018-08-27 09:29:20###{"code":"021ttN4o0zXpnr1DZ96o0WAM4o0ttN40"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"18","position":"2","person":"1","company":"1"}}###{"code":"021ttN4o0zXpnr1DZ96o0WAM4o0ttN40"}###null###null###null###null
Index/jianli###5b28db5a8f9c1###2018-08-27 09:29:37###{"city":"130100","type":"1","zhiwei":"","quyu":"","jiesuan":"","page":"5"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"total":"56","result":[{"rid":"63","title":"\u7838\u5899\uff0c\u62c6\u9664\uff0c\u6c34\uff0c\u7535\uff0c\u6696\uff0c\u6775\u5899\u7816\uff0c","end_date":"\u957f\u671f\u6709\u9650","wage":"300","payment_type":"1","type":"\u65e5\u7ed3","area":"\u88d5\u534e\u533a"},{"rid":"53","title":"\u8bb2\u5e08","end_date":"\u957f\u671f\u6709\u9650","wage":"200","payment_type":"1","type":"\u65e5\u7ed3","area":"\u9e7f\u6cc9\u533a"},{"rid":"52","title":"\u561f\u561f\u561f\u561f","end_date":"\u957f\u671f\u6709\u9650","wage":"200","payment_type":"1","type":"\u65e5\u7ed3","area":"\u9e7f\u6cc9\u533a"},{"rid":"51","title":"\u6559\u7ec3","end_date":"\u957f\u671f\u6709\u9650","wage":"300","payment_type":"1","type":"\u65e5\u7ed3","area":"\u88d5\u534e\u533a"},{"rid":"50","title":"\u6559\u7ec3","end_date":"\u957f\u671f\u6709\u9650","wage":"300","payment_type":"1","type":"\u65e5\u7ed3","area":"\u88d5\u534e\u533a"},{"rid":"49","title":"\u5e94\u8058","end_date":"\u957f\u671f\u6709\u9650","wage":"150","payment_type":"3","type":"\u6708\u7ed3","area":"\u88d5\u534e\u533a"},{"rid":"48","title":"\u6c42\u804c","end_date":"\u957f\u671f\u6709\u9650","wage":"200","payment_type":"1","type":"\u65e5\u7ed3","area":"\u9e7f\u6cc9\u533a"},{"rid":"47","title":"\u5e94\u8058","end_date":"\u957f\u671f\u6709\u9650","wage":"120","payment_type":"3","type":"\u6708\u7ed3","area":"\u88d5\u534e\u533a"},{"rid":"46","title":"\u6c42\u804c","end_date":"\u957f\u671f\u6709\u9650","wage":"300","payment_type":"1","type":"\u65e5\u7ed3","area":"\u9e7f\u6cc9\u533a"},{"rid":"43","title":"\u738b\u6653\u6656\u63a5\u5355","end_date":"\u957f\u671f\u6709\u9650","wage":"200","payment_type":"2","type":"\u5468\u7ed3","area":"\u85c1\u57ce\u533a"}]}}###{"city":"130100","type":"1","zhiwei":"","quyu":"","jiesuan":"","page":"5"}###null###null###null###null
Index/jianli###5b28db5a8f9c1###2018-08-27 09:29:39###{"city":"130100","type":"1","zhiwei":"","quyu":"","jiesuan":"","page":"6"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"total":"56","result":[{"rid":"42","title":"\u5bb6\u6559","end_date":"\u957f\u671f\u6709\u9650","wage":"100","payment_type":"1","type":"\u65e5\u7ed3","area":"\u88d5\u534e\u533a"},{"rid":"41","title":"\u804c\u4e1a\u917f\u9152\u5e08","end_date":"\u957f\u671f\u6709\u9650","wage":"130","payment_type":"1","type":"\u65e5\u7ed3","area":"\u88d5\u534e\u533a"},{"rid":"40","title":"\u804c\u4e1a\u917f\u9152\u5e08","end_date":"\u957f\u671f\u6709\u9650","wage":"130","payment_type":"1","type":"\u65e5\u7ed3","area":"\u88d5\u534e\u533a"},{"rid":"38","title":"\u627e\u4e00\u4e2a\u9500\u552e\u7684\u5de5\u4f5c","end_date":"\u957f\u671f\u6709\u9650","wage":"100","payment_type":"1","type":"\u65e5\u7ed3","area":"\u88d5\u534e\u533a"},{"rid":"35","title":"\u6c29\u5f27\u710a","end_date":"\u957f\u671f\u6709\u9650","wage":"200","payment_type":"1","type":"\u65e5\u7ed3","area":"\u9e7f\u6cc9\u533a"},{"rid":"34","title":"\u627e\u5de5\u4f5c","end_date":"\u957f\u671f\u6709\u9650","wage":"200","payment_type":"1","type":"\u65e5\u7ed3","area":"\u9e7f\u6cc9\u533a"}]}}###{"city":"130100","type":"1","zhiwei":"","quyu":"","jiesuan":"","page":"6"}###null###null###null###null
Index/jianli###5b28db5a8f9c1###2018-08-27 09:29:40###{"city":"130100","type":"1","zhiwei":"","quyu":"","jiesuan":"","page":"7"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"total":"56","result":[]}}###{"city":"130100","type":"1","zhiwei":"","quyu":"","jiesuan":"","page":"7"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-08-27 09:29:48###{"position":"2","userid":"18"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u79d1\u6280\u516c\u53f8"}}###{"position":"2","userid":"18"}###null###null###null###null
Personcenter/switchidentity###5b31e8299f2b6###2018-08-27 09:29:51###{"userid":"18","identity":"1"}###null###null######null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"msg":"\u5207\u6362\u6210\u529f"}}###{"userid":"18","identity":"1"}###null###null###null###null
Index/location###5b21fee04cd72###2018-08-27 09:29:51###{"lng":"114.5623","lat":"37.99112"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u5b89\u82d1\u5c0f\u533a-A\u533a"}}###{"lng":"114.5623","lat":"37.99112"}###null###null###null###null
Index/index###5b1781ee5e479###2018-08-27 09:29:51###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Fabu/zhiwei###5b17aa44d516a###2018-08-27 09:29:53###{"str":"fsd"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"","position_name":"\u5168\u90e8"},{"id":"1","position_name":"\u9500\u552e"},{"id":"2","position_name":"\u5ba2\u670d"},{"id":"3","position_name":"\u4eba\u4e8b\/\u884c\u653f\/\u540e\u52e4"},{"id":"4","position_name":"\u9910\u996e"},{"id":"5","position_name":"\u65c5\u6e38"},{"id":"6","position_name":"\u9152\u5e97"},{"id":"7","position_name":"\u8d85\u5e02\/\u767e\u8d27\/\u96f6\u552e"},{"id":"8","position_name":"\u7f8e\u5bb9\u7f8e\u53d1"},{"id":"9","position_name":"\u8fd0\u52a8\u5065\u8eab"},{"id":"10","position_name":"\u666e\u5de5\/\u6280\u5de5"},{"id":"11","position_name":"\u5efa\u7b51"},{"id":"12","position_name":"\u7269\u4e1a\u7ba1\u7406"},{"id":"13","position_name":"\u623f\u4ea7\u4e2d\u4ecb"},{"id":"14","position_name":"\u6dd8\u5b9d\u804c\u4f4d"},{"id":"15","position_name":"\u8d22\u52a1\/\u5ba1\u8ba1\/\u7edf\u8ba1"},{"id":"16","position_name":"\u6cd5\u5f8b"},{"id":"17","position_name":"\u7ffb\u8bd1"},{"id":"18","position_name":"\u8ba1\u7b97\u673a\/\u4e92\u8054\u7f51\/\u7f51\u7edc"},{"id":"19","position_name":"\u4fdd\u9669"},{"id":"20","position_name":"\u5bb6\u6559"}]}###{"str":"fsd"}###null###null###null###null
Fabu/paytypes###5b30a7a7eeba5###2018-08-27 09:29:53###{"str":"fsd"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"","type":"\u5168\u90e8"},{"id":"1","type":"\u65e5\u7ed3"},{"id":"2","type":"\u5468\u7ed3"},{"id":"3","type":"\u6708\u7ed3"}]}###{"str":"fsd"}###null###null###null###null
Fabu/area###5b188f4e99723###2018-08-27 09:29:53###{"pid":"130100"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"code":"","region":"\u5168\u90e8"},{"code":"130102","region":"\u957f\u5b89\u533a"},{"code":"130103","region":"\u6865\u4e1c\u533a"},{"code":"130104","region":"\u6865\u897f\u533a"},{"code":"130105","region":"\u65b0\u534e\u533a"},{"code":"130107","region":"\u4e95\u9649\u77ff\u533a"},{"code":"130108","region":"\u88d5\u534e\u533a"},{"code":"130121","region":"\u4e95\u9649\u53bf"},{"code":"130123","region":"\u6b63\u5b9a\u53bf"},{"code":"130111","region":"\u683e\u57ce\u533a"},{"code":"130125","region":"\u884c\u5510\u53bf"},{"code":"130126","region":"\u7075\u5bff\u53bf"},{"code":"130127","region":"\u9ad8\u9091\u53bf"},{"code":"130128","region":"\u6df1\u6cfd\u53bf"},{"code":"130129","region":"\u8d5e\u7687\u53bf"},{"code":"130130","region":"\u65e0\u6781\u53bf"},{"code":"130131","region":"\u5e73\u5c71\u53bf"},{"code":"130132","region":"\u5143\u6c0f\u53bf"},{"code":"130133","region":"\u8d75\u3000\u53bf"},{"code":"130181","region":"\u8f9b\u96c6\u5e02"},{"code":"130109","region":"\u85c1\u57ce\u533a"},{"code":"130183","region":"\u664b\u5dde\u5e02"},{"code":"130184","region":"\u65b0\u4e50\u5e02"},{"code":"130110","region":"\u9e7f\u6cc9\u533a"}]}###{"pid":"130100"}###null###null###null###null
Index/zhiwei###5b28e30c5b86a###2018-08-27 09:29:53###{"city":"130100","type":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"total":"2","result":[{"id":"49","title":"\u53d1\u5355\u5458","end_date":"2021-07-26","wage":"60","payment_type":"2","type":"\u5468\u7ed3","area":"\u88d5\u534e\u533a"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","end_date":"2026-07-12","wage":"150","payment_type":"3","type":"\u6708\u7ed3","area":"\u85c1\u57ce\u533a"}]}}###{"city":"130100","type":"1"}###null###null###null###null
Index/zhiwei###5b28e30c5b86a###2018-08-27 09:29:55###{"city":"130100","type":"1","zhiwei":"","quyu":"","jiesuan":""}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"total":"2","result":[{"id":"49","title":"\u53d1\u5355\u5458","end_date":"2021-07-26","wage":"60","payment_type":"2","type":"\u5468\u7ed3","area":"\u88d5\u534e\u533a"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","end_date":"2026-07-12","wage":"150","payment_type":"3","type":"\u6708\u7ed3","area":"\u85c1\u57ce\u533a"}]}}###{"city":"130100","type":"1","zhiwei":"","quyu":"","jiesuan":""}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-08-27 09:30:02###{"position":"1","userid":"18"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u674e\u4e39"}}###{"position":"1","userid":"18"}###null###null###null###null
Personcenter/switchidentity###5b31e8299f2b6###2018-08-27 09:30:04###{"userid":"18","identity":"2"}###null###null######null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"msg":"\u5207\u6362\u6210\u529f"}}###{"userid":"18","identity":"2"}###null###null###null###null
Index/location###5b21fee04cd72###2018-08-27 09:30:04###{"lng":"114.5623","lat":"37.99103"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u5b89\u82d1\u5c0f\u533a-A\u533a"}}###{"lng":"114.5623","lat":"37.99103"}###null###null###null###null
Index/index###5b1781ee5e479###2018-08-27 09:30:04###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"148","title":"\u5bb6\u6559\u627e\u8001\u5e08","wage":"50","end_date":"2018-08-16","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"rid":"147","title":"\u4fdd\u59c6","wage":"0","end_date":"2018-08-08","payment_type":"1","area":"\u683e\u57ce\u533a","type":"\u65e5\u7ed3"},{"rid":"146","title":"\u949f\u70b9\u5de5","wage":"0","end_date":"2018-08-08","payment_type":"1","area":"\u957f\u5b89\u533a","type":"\u65e5\u7ed3"},{"rid":"142","title":"\u7ffb\u8bd1","wage":"100","end_date":"2018-12-10","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
